cid,fid,pid,x1,y1,w,h
1,0,0,92,12,22,"53
"
1,1,0,92,12,22,"53
"
1,2,0,93,10,23,"57
"
1,3,0,92,12,23,"58
"
1,4,0,93,13,23,"58
"
1,5,0,94,13,23,"59
"
1,6,0,94,13,21,"58
"
1,7,0,95,15,21,"57
"
1,8,0,96,16,22,"58
"
1,9,0,95,18,23,"56
"
1,10,0,93,18,27,"58
"
1,11,0,96,18,23,"56
"
1,12,0,95,18,26,"53
"
1,13,0,93,19,28,"55
"
1,14,0,97,18,26,"55
"
1,15,0,97,19,25,"58
"
1,16,0,97,21,25,"56
"
1,17,0,97,20,27,"57
"
1,18,0,98,22,27,"56
"
1,19,0,98,22,29,"57
"
1,20,0,97,22,26,"57
"
1,21,0,98,24,28,"57
"
1,22,0,99,24,25,"56
"
1,23,0,99,24,26,"59
"
1,24,0,99,23,28,"58
"
1,25,0,100,24,26,"59
"
1,26,0,101,25,27,"61
"
1,27,0,100,24,27,"62
"
1,28,0,101,26,25,"61
"
1,29,0,102,27,23,"58
"
1,30,0,102,28,24,"59
"
1,31,0,101,28,23,"62
"
1,32,0,103,32,25,"57
"
1,33,0,102,29,23,"61
"
1,34,0,104,30,24,"58
"
1,35,0,104,32,24,"58
"
1,36,0,104,32,24,"57
"
1,37,0,104,30,24,"58
"
1,38,0,104,32,26,"58
"
1,39,0,104,33,25,"58
"
1,40,0,104,34,24,"63
"
1,41,0,105,35,23,"60
"
1,42,0,105,36,24,"60
"
1,43,0,106,35,27,"61
"
1,44,0,106,35,21,"60
"
1,45,0,107,38,21,"56
"
1,46,0,106,39,25,"59
"
1,47,0,108,40,21,"58
"
1,48,0,107,39,21,"59
"
1,49,0,108,39,23,"60
"
1,50,0,107,40,22,"58
"
1,51,0,107,40,23,"59
"
1,52,0,108,41,24,"58
"
1,53,0,106,41,25,"64
"
1,54,0,108,43,23,"63
"
1,55,0,108,45,21,"60
"
1,56,0,109,45,24,"59
"
1,57,0,108,45,23,"60
"
1,58,0,109,45,24,"60
"
1,59,0,110,46,23,"58
"
1,60,0,110,48,24,"54
"
1,61,0,109,47,24,"59
"
1,62,0,109,47,26,"57
"
1,63,0,109,48,24,"58
"
1,64,0,110,50,25,"57
"
1,65,0,110,50,23,"60
"
1,66,0,111,51,25,"59
"
1,67,0,111,52,24,"61
"
1,68,0,110,53,26,"59
"
1,69,0,112,53,23,"59
"
1,70,0,112,53,25,"60
"
1,71,0,111,55,24,"57
"
1,72,0,110,55,26,"57
"
1,73,0,114,57,23,"52
"
1,74,0,112,57,27,"54
"
1,75,0,111,56,26,"59
"
1,76,0,112,58,26,"57
"
1,77,0,115,59,22,"57
"
1,78,0,114,61,25,"58
"
1,79,0,114,62,25,"57
"
1,80,0,115,62,22,"58
"
1,81,0,113,62,26,"59
"
1,82,0,117,63,20,"57
"
1,83,0,116,63,21,"58
"
1,84,0,117,64,22,"57
"
1,85,0,117,65,23,"57
"
1,86,0,118,65,20,"56
"
1,87,0,117,64,24,"57
"
1,88,0,117,66,23,"57
"
1,89,0,117,67,24,"59
"
1,90,0,116,67,28,"62
"
1,91,0,117,68,27,"61
"
1,92,0,117,69,27,"57
"
1,93,0,118,70,26,"58
"
1,94,0,117,70,28,"58
"
1,95,0,117,70,30,"59
"
1,96,0,118,70,28,"59
"
1,97,0,117,70,30,"60
"
1,98,0,118,71,24,"56
"
1,99,0,119,71,27,"63
"
1,100,0,120,72,25,"61
"
1,101,0,118,74,28,"61
"
1,102,0,121,75,28,"60
"
1,103,0,120,75,26,"60
"
1,104,0,121,76,24,"59
"
1,105,0,124,76,23,"59
"
1,106,0,123,77,23,"59
"
1,107,0,124,77,22,"58
"
1,108,0,124,78,24,"58
"
1,109,0,124,76,25,"61
"
1,110,0,123,78,27,"59
"
1,111,0,124,80,24,"56
"
1,112,0,124,80,25,"59
"
1,113,0,126,81,27,"57
"
1,114,0,127,82,25,"59
"
1,114,1,225,174,34,"63
"
1,115,0,125,83,28,"58
"
1,115,1,225,172,33,"65
"
1,116,0,127,83,24,"60
"
1,116,1,222,172,36,"65
"
1,117,0,126,83,27,"58
"
1,117,1,223,168,35,"69
"
1,118,0,128,85,24,"59
"
1,118,1,224,170,32,"66
"
1,119,0,126,86,28,"57
"
1,119,1,223,166,32,"72
"
1,120,0,129,86,22,"55
"
1,120,1,224,168,32,"69
"
1,121,0,128,85,26,"57
"
1,121,1,222,167,33,"71
"
1,122,0,129,86,24,"59
"
1,122,1,223,167,30,"70
"
1,123,0,129,85,25,"60
"
1,123,1,222,166,31,"70
"
1,124,0,130,87,28,"57
"
1,124,1,221,164,33,"70
"
1,125,0,130,88,26,"60
"
1,125,1,219,163,34,"71
"
1,126,0,130,88,25,"59
"
1,126,1,219,161,34,"70
"
1,127,0,130,89,28,"61
"
1,127,1,219,161,30,"69
"
1,128,0,130,91,26,"60
"
1,128,1,219,159,30,"70
"
1,129,0,132,90,27,"62
"
1,129,1,218,157,30,"72
"
1,130,0,133,91,24,"60
"
1,130,1,218,158,30,"69
"
1,131,0,132,91,24,"62
"
1,131,1,219,156,34,"74
"
1,132,0,134,91,23,"61
"
1,132,1,215,156,34,"69
"
1,133,0,134,91,24,"60
"
1,133,1,217,154,31,"71
"
1,134,0,133,92,25,"59
"
1,134,1,216,158,36,"70
"
1,135,0,135,92,24,"61
"
1,135,1,217,154,29,"70
"
1,136,0,135,93,26,"59
"
1,136,1,216,155,32,"67
"
1,137,0,135,95,24,"59
"
1,137,1,216,152,31,"69
"
1,138,0,135,95,25,"61
"
1,138,1,215,151,31,"66
"
1,139,0,134,96,24,"61
"
1,139,1,214,151,35,"70
"
1,140,0,135,98,22,"59
"
1,140,1,214,151,30,"63
"
1,141,0,136,98,26,"61
"
1,141,1,213,150,29,"68
"
1,142,0,136,98,26,"63
"
1,142,1,214,149,28,"67
"
1,143,0,136,99,25,"59
"
1,143,1,215,148,26,"69
"
1,144,0,137,101,22,"59
"
1,144,1,212,148,30,"68
"
1,145,0,136,100,25,"58
"
1,145,1,212,147,29,"69
"
1,146,0,135,98,27,"62
"
1,146,1,211,146,30,"69
"
1,147,0,136,101,26,"57
"
1,147,1,210,146,32,"71
"
1,148,0,137,101,27,"57
"
1,148,1,209,144,34,"68
"
1,149,0,137,103,28,"60
"
1,149,1,208,143,32,"69
"
1,150,0,138,101,29,"62
"
1,150,1,207,143,34,"68
"
1,151,0,140,103,29,"64
"
1,151,1,206,140,35,"71
"
1,152,0,138,106,29,"61
"
1,152,1,208,139,32,"66
"
1,153,0,140,108,29,"59
"
1,153,1,208,140,31,"66
"
1,154,0,141,105,26,"61
"
1,154,1,207,138,31,"69
"
1,155,0,140,107,29,"63
"
1,155,1,207,137,29,"72
"
1,156,0,143,108,23,"60
"
1,156,1,205,138,30,"64
"
1,157,0,143,108,25,"60
"
1,157,1,205,138,31,"66
"
1,158,0,143,107,24,"60
"
1,158,1,204,136,31,"69
"
1,159,0,144,109,25,"58
"
1,159,1,204,136,31,"68
"
1,160,0,143,108,25,"60
"
1,160,1,201,135,33,"68
"
1,161,0,144,109,26,"60
"
1,161,1,202,132,32,"69
"
1,162,0,143,110,27,"64
"
1,162,1,200,132,32,"65
"
1,163,0,144,111,26,"62
"
1,163,1,201,130,30,"69
"
1,164,0,145,112,26,"61
"
1,164,1,202,132,30,"67
"
1,165,0,147,113,23,"61
"
1,165,1,201,130,29,"67
"
1,166,0,147,112,24,"62
"
1,166,1,201,129,28,"66
"
1,167,0,148,115,23,"58
"
1,167,1,200,128,30,"69
"
1,168,0,147,114,26,"61
"
1,168,1,200,126,29,"69
"
